"","article_title","white_authors","black_authors","east_asian_authors","south_asian_authors","latino_authors","mena_authors","native_authors","pacific_authors","other_authors","mixed_authors"
"15","BJPS.45.4.705","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"16","BJPS.31.1.121","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"17","JOP.65.1.161","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"18","AJPS.48.1.93","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"19","ISQ.48.3.517","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"20","CPS.33.8.995","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"21","IO.68.1.33","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"22","CPS.47.9.1268","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"23","POP.10.4.935","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"24","JOP.71.2.398","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"25","JOP.74.4.1125","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"26","WP.65.2.273","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"27","WP.63.4.647","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"28","AJPS.56.3.538","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"29","JOP.74.3.810","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"30","WP.67.3.423","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"31","CPS.50.1.133","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"32","ISQ.53.2.389","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"33","IO.60.3.563","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"34","CP.41.2.127","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"35","CP.44.2.151","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"36","CP.48.4.439","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"37","ISQ.62.2.315","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"38","AJPS.46.1.164","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"39","CP.39.3.253","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"40","WP.57.3.396","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"41","ISQ.62.1.171","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"42","CPS.48.8.1051","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"43","AJPS.61.2.424","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"44","JOP.73.2.362","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"45","CPS.39.7.880","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"46","JOP.62.2.350","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"47","ISQ.54.1.1","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"48","BJPS.40.2.249","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"49","ISQ.57.4.647","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"50","WP.56.4.554","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"51","BJPS.41.1.57","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"52","JOP.62.4.1035","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"53","JOP.73.4.1065","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"54","POP.9.2.247","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"55","AJPS.42.1.55","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"56","BJPS.39.2.267","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"57","JOP.72.1.31","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"58","JOP.72.3.894","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"59","CP.49.4.437","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"60","CPS.33.2.225","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"61","AJPS.52.2.395","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"62","JOP.68.1.194","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"63","JOP.78.4.1032","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"64","CP.39.2.189","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
